Archetype_Lineup,2020,2021,2022,2023,2024
CB_2 | CB_2 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_0 | LB_3 | S_1 | S_2,0.0,0.478,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_0 | LB_3 | S_1 | S_2,0.0,0.251,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_0 | ED_0 | ED_1 | LB_3 | LB_3 | S_1 | S_1 | S_2,0.0,0.251,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_0 | ED_0 | ED_0 | ED_1 | LB_3 | S_1 | S_2 | S_2,0.0,0.761,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_0 | DI_2 | ED_0 | ED_0 | LB_3 | LB_3 | S_1 | S_2,0.0,0.259,0.0,0.0,0.0
CB_2 | CB_2 | CB_3 | DI_2 | ED_0 | ED_0 | LB_0 | LB_1 | S_1 | S_2 | S_2,0.354,0.0,0.0,0.0,0.0
CB_2 | CB_2 | CB_3 | DI_2 | DI_2 | ED_0 | ED_3 | LB_0 | LB_1 | S_1 | S_2,0.556,0.0,0.0,0.0,0.0
CB_1 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.494,0.0,0.0,0.0
CB_1 | CB_4 | DI_1 | DI_2 | DI_3 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.635,0.0,0.0,0.0,0.0
CB_1 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.849,0.0,0.0
CB_1 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.308,0.0,0.0
CB_1 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_0 | LB_1 | S_1 | S_4,0.0,0.0,0.466,0.0,0.0
CB_1 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.368,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.326,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | ED_0 | ED_0 | ED_1 | ED_1 | LB_1 | S_1 | S_2 | S_4,0.0,0.275,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_2 | ED_0 | ED_0 | ED_2 | LB_1 | LB_3 | S_4 | S_4,0.051,0.397,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.376,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_0 | S_1 | S_2 | S_2,0.365,0.0,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_2 | ED_0 | ED_1 | ED_1 | LB_1 | S_4 | S_4 | S_4,0.0,0.0,0.301,0.0,0.0
CB_2 | CB_4 | CB_4 | ED_0 | ED_0 | ED_0 | ED_2 | LB_1 | LB_3 | S_4 | S_4,0.0,0.267,0.0,0.0,0.0
